Episodes,Licensors,Source,Rating,Action,Scifi,Adventure,Drama,Mystery,Supernatural,Fantasy,Sports,Comedy,Romance,Suspense,Ecchi,Horror,Slice of Life,Girls Love,Boys Love,class
Short,Funimation,Manga,PG-13_Teens_13_or_older,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
Medium,Funimation,Manga,R-17+,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Medium,VIZ_Media,Manga,PG-13_Teens_13_or_older,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
Medium,Media_Blasters,Manga,PG-13_Teens_13_or_older,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
Short,Geneon_Entertainment_USA,Game,PG-13_Teens_13_or_older,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Short,ADV_Films,Manga,R-17+,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1
Short,ADV_Films,Manga,PG-13_Teens_13_or_older,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Short,Media_Blasters,Visual_novel,R+_Mild_Nudity,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
Short,Funimation,Manga,R-17+,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Medium,VIZ_Media,Manga,PG-13_Teens_13_or_older,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
Medium,VIZ_Media,Manga,PG-13_Teens_13_or_older,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Short,ADV_Films,Manga,R-17+,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Short,Sentai_Filmworks,Manga,PG-13_Teens_13_or_older,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
Short,Nozomi_Entertainment,Manga,PG-13_Teens_13_or_older,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
Short,ADV_Films,Original,R+_Mild_Nudity,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1
Short,Funimation,Visual_novel,R+_Mild_Nudity,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Short,Media_Blasters,Manga,PG-13_Teens_13_or_older,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1
Short,Sony_Pictures_Entertainment,Original,R-17+,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1
Short,Discotek_Media,Manga,R+_Mild_Nudity,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
Short,Funimation,Original,R-17+,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Short,Media_Blasters,Novel,PG-13_Teens_13_or_older,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Medium,4Kids_Entertainment,Manga,PG-13_Teens_13_or_older,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
Short,Manga_Entertainment,Manga,R-17+,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1
Short,Funimation,Manga,R+_Mild_Nudity,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
Short,Funimation,Manga,PG-13_Teens_13_or_older,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1
Short,Nozomi_Entertainment,Light_novel,PG-13_Teens_13_or_older,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
Short,Geneon_Entertainment_USA,Manga,PG-13_Teens_13_or_older,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1
Short,ADV_Films,Original,R-17+,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Short,ADV_Films,Manga,R-17+,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Short,Nozomi_Entertainment,Manga,G_All_Ages,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
Short,ADV_Films,Game,PG _Children,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Short,GKIDS,Original,PG-13_Teens_13_or_older,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Short,ADV_Films,Original,PG-13_Teens_13_or_older,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
Short,Funimation,Other,PG-13_Teens_13_or_older,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Short,Funimation,Light_novel,PG-13_Teens_13_or_older,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1
Short,Bandai_Entertainment,Original,PG-13_Teens_13_or_older,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Short,Sentai_Filmworks,Visual_novel,R-17+,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1
Long,Flatiron_Film_Company,Manga,PG-13_Teens_13_or_older,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Short,Manga_Entertainment,Manga,PG-13_Teens_13_or_older,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Short,Discotek_Media,Manga,R-17+,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Short,Discotek_Media,Manga,PG-13_Teens_13_or_older,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Short,Funimation,Manga,PG-13_Teens_13_or_older,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
Short,Discotek_Media,Manga,G_All_Ages,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Short,Funimation,Original,PG-13_Teens_13_or_older,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Short,Funimation,Original,PG-13_Teens_13_or_older,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Short,Funimation,Original,PG-13_Teens_13_or_older,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
Short,ADV_Films,Game,PG-13_Teens_13_or_older,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Short,Funimation,Manga,PG-13_Teens_13_or_older,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Short,Funimation,Manga,PG-13_Teens_13_or_older,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Short,Funimation,Manga,PG-13_Teens_13_or_older,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Short,Funimation,Manga,PG-13_Teens_13_or_older,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
Short,Bandai_Entertainment,Manga,PG-13_Teens_13_or_older,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1
Short,Bandai_Entertainment,Manga,PG-13_Teens_13_or_older,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Short,Bandai_Entertainment,Manga,PG-13_Teens_13_or_older,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Short,ADV_Films,Light_novel,R+_Mild_Nudity,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1
Short,Nozomi_Entertainment,Original,PG-13_Teens_13_or_older,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Short,Nozomi_Entertainment,Original,PG-13_Teens_13_or_older,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Short,Funimation,Original,R+_Mild_Nudity,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Short,Disney_Platform_Distribution,Original,PG _Children,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Short,VIZ_Media,Manga,R+_Mild_Nudity,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1
Short,Funimation,Original,PG-13_Teens_13_or_older,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1
Short,Funimation,Original,R-17+,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Short,Funimation,Novel,PG-13_Teens_13_or_older,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
Short,Funimation,Light_novel,R-17+,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Short,Aniplex_of_America,Light_novel,PG-13_Teens_13_or_older,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Short,Aniplex_of_America,Manga,PG-13_Teens_13_or_older,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Long,VIZ_Media,Manga,R+_Mild_Nudity,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Short,Central_Park_Media,Original,PG-13_Teens_13_or_older,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Short,ADV_Films,Original,PG-13_Teens_13_or_older,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Short,ADV_Films,Original,R-17+,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Short,ADV_Films,Original,R+_Mild_Nudity,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
Long,Funimation,Manga,PG-13_Teens_13_or_older,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Medium,Funimation,Manga,PG-13_Teens_13_or_older,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
